Point	X_deg	Y_deg
T1	-9	21
T2	-3	21
T3	3	21
T4	9	21
T5	-15	15
T6	-9	15
T7	-3	15
T8	3	15
T9	9	15
T10	15	15
T11	-21	9
T12	-15	9
T13	-9	9
T14	-3	9
T15	3	9
T16	9	9
T17	15	9
T18	21	9
T19	-27	3
T20	-21	3
T21	-15	3
T22	-9	3
T23	-3	3
T24	3	3
T25	9	3
T26	15	3
T27	21	3
T28	-27	-3
T29	-21	-3
T30	-15	-3
T31	-9	-3
T32	-3	-3
T33	3	-3
T34	9	-3
T35	15	-3
T36	21	-3
T37	-21	-9
T38	-15	-9
T39	-9	-9
T40	-3	-9
T41	3	-9
T42	9	-9
T43	15	-9
T44	21	-9
T45	-15	-15
T46	-9	-15
T47	-3	-15
T48	3	-15
T49	9	-15
T50	15	-15
T51	-9	-21
T52	-3	-21
T53	3	-21
T54	9	-21
